id,category,file_name,file_path
1-ANT,ANT,ANT-improved_lead_and_bismuth_n_gamma_cross_sections_and_their_astrophysical_impact.pdf.txt,./classified_org_txt/ANT/ANT-improved_lead_and_bismuth_n_gamma_cross_sections_and_their_astrophysical_impact.pdf.txt
2-ANT,ANT,ANT-Enhanced_gamma_ray_emission_from_neutron_unbound_states_populated_in_beta_decay.pdf.txt,./classified_org_txt/ANT/ANT-Enhanced_gamma_ray_emission_from_neutron_unbound_states_populated_in_beta_decay.pdf.txt
3-ANT,ANT,ANT-Measurement_of_the_240_242Pu_n_f_cross_section_at_the_CERN_n_TOF_facility.pdf.txt,./classified_org_txt/ANT/ANT-Measurement_of_the_240_242Pu_n_f_cross_section_at_the_CERN_n_TOF_facility.pdf.txt
4-ANT,ANT,ANT-Measurement_of_the_241Am_neutron_capture_cross_section_at_the_n_TOF_facility_at_CERN.pdf.txt,./classified_org_txt/ANT/ANT-Measurement_of_the_241Am_neutron_capture_cross_section_at_the_n_TOF_facility_at_CERN.pdf.txt
5-ANT,ANT,ANT-The_236u_neutron_capture_cross_section_measured_at_the_n_TOF_CERN_facility.pdf.txt,./classified_org_txt/ANT/ANT-The_236u_neutron_capture_cross_section_measured_at_the_n_TOF_CERN_facility.pdf.txt
6-ANT,ANT,ANT-The_234u_neutron_capture_cross_section_measurement_at_the_n_TOF_facility.pdf.txt,./classified_org_txt/ANT/ANT-The_234u_neutron_capture_cross_section_measurement_at_the_n_TOF_facility.pdf.txt
7-ANT,ANT,ANT-Measurement_of_the_neutron_capture_cross_section_of_the_fissile_isotope_235u_with_the_CERN_n_TOF_Total_Absorption_Calorimeter_and_a_fission_tagging_based_on_micromegas_detectors.pdf.txt,./classified_org_txt/ANT/ANT-Measurement_of_the_neutron_capture_cross_section_of_the_fissile_isotope_235u_with_the_CERN_n_TOF_Total_Absorption_Calorimeter_and_a_fission_tagging_based_on_micromegas_detectors.pdf.txt
8-ANT,ANT,ANT-Neutron_induced_reactions_for_the_s_process_and_the_case_of_Fe_and_Ni_isotopes.pdf.txt,./classified_org_txt/ANT/ANT-Neutron_induced_reactions_for_the_s_process_and_the_case_of_Fe_and_Ni_isotopes.pdf.txt
9-ANT,ANT,ANT-Study_of_the_photon_strength_function_of_152SM_in_resonance_neutron_capture_at_n_TOF.pdf.txt,./classified_org_txt/ANT/ANT-Study_of_the_photon_strength_function_of_152SM_in_resonance_neutron_capture_at_n_TOF.pdf.txt
10-ANT,ANT,ANT-Application_of_photon_strength_functions_to_n_gamma_measurements_with_the_n_TOF_TAC.pdf.txt,./classified_org_txt/ANT/ANT-Application_of_photon_strength_functions_to_n_gamma_measurements_with_the_n_TOF_TAC.pdf.txt
